Diversity,Mental Health,Physical Health,Housing,On Campus Food,Transportation,Parking,Academics,Finances,Spring Break ,Flexibility ,Social ,Student Resources,Longer/More Breaks ,Counseling,Academic Advising,Breaks,Remote,Buses ,Flexibile Deadlines,Office Hours,Tuiton ,Sleep ,Instruction,Syllabus,Pass/Fail,Hobbies,TAs,Feedback,Motivation,Events,Hybrid Classes,Courses,Communication,Stress,Registration,Graduation,Job Search,COVID,Time Management,Less Work,Exams,Grade Replacement,ECE Majors,Family
1.2689319726192128,1.789438954420452,3.278646886757598,3.0358730508609044,4.942631358551949,3.085614968870263,4.192375036913027,3.938151019241107,1.846383575202611,3.355530623479892,1.8218423534319372,2.3535129343352423,1.2952426165997657,1.0,3.2180517938055284,2.0215373321742796,2.3733771725242834,3.1969773954496272,3.3454466187385172,1.0,3.748623255273214,2.0206744800096472,3.077959126585302,1.8941510727765023,2.317668400185861,2.690212865226088,2.4496730264669586,2.723185713923082,4.257239889920465,2.8699446335347085,4.422161696277343,1.9443652048172955,4.853072489011093,2.547575652019834,3.730982966804178,1.3547180807185897,3.2091648035566926,2.280118753178503,1.4108054980333213,2.8296801341340174,2.5182156330351875,3.00143060533827,3.950516988591043,3.121239345394778,2.264185693072826
3.0373462011683428,4.328393343199172,2.789015300762335,2.458941195989134,1.1643763077098335,3.7162270459075826,4.0643852819034345,3.0753032565852774,3.5021281472133703,3.3320340090126326,4.024783854227499,5.0,3.248152760507102,3.4666468013227023,3.533158485211512,4.678317671903087,4.655666102724599,2.8756236237958883,2.289018939965982,3.2787111188933764,3.784709850519438,5.0,2.9715226394143013,4.925155790661007,3.187237348601426,3.5187241933606055,3.991257811811894,3.407836931652068,3.754712115175929,3.294980895899799,1.0,4.005648437654402,3.0854618737696624,3.8838058975346033,2.939769897569885,5.0,2.8249436863972726,1.452147324157961,5.0,3.386091723749609,2.392486149889577,2.500087814385862,4.823231934059349,3.7331259625527053,4.202726420680868
2.0945359084750534,3.3138177502702715,3.7687725402696595,3.839171592853158,2.1909567742639116,4.2209404241386785,4.105000433891812,4.727994639483014,1.0,3.5824892195352134,2.9258645022021956,3.630661748201044,1.7648973821725502,1.012269417340021,3.3335589657285496,2.02054820003352,1.2657180505301553,4.87005885835019,4.547609157019894,2.4890840537811645,3.0201892864312234,2.7124725808014536,2.5917730379821484,1.2585575529166355,2.8998375766289755,4.246251361327473,3.0840056131728035,2.4856099815410486,4.249991349389599,2.6228437974286187,3.2541715617889326,3.1299279393923936,4.104961650813737,3.486600594361437,3.313542318654464,2.309604006497214,3.107321707200353,2.6608776868736643,1.7871007193867943,2.894370370145384,2.6933474480874797,2.7753201748940626,3.516995238240753,4.148853688379631,2.3947405937950004
1.6461985625326903,1.8934196287858591,3.6604079832862904,3.2661208019274626,5.0,3.2424756924515474,4.866997162320595,4.155469148150214,3.047732166674227,3.8909707411545957,2.0987789051882304,2.5865524356493887,1.8504401978183125,1.20795243318643,3.8280504697342423,2.842864193483127,3.6842776991690656,3.0398460610856777,3.358006925690296,1.033998440383461,4.732409005748421,2.56506082035928,3.9395123810308488,3.035742133359885,2.747834703144002,2.6646833394344425,2.900676509685081,3.5222006556327448,4.869461157140957,3.655967239990916,5.0,2.1738712510855582,5.0,2.8430875732462546,4.514608737361586,1.825134946764092,3.873320801463068,2.6900401049704463,2.149485894546962,3.4795070865865085,3.0708993546192858,3.715522686599718,4.853285890611861,3.326939191541784,2.976132181543541
1.3010708230998766,2.6315198400025572,2.811101382725789,2.905926244067321,1.0,3.389909342626865,3.114066263927833,3.7766959858669074,1.0,2.6273489229713407,2.1841779427275867,2.9373462588721,1.0,1.0,2.3877788529455173,1.2012356749681472,1.0,4.033887624582339,3.623852781833653,1.7957263031115835,1.9783973624966407,1.9981295315266574,1.5644728893110271,1.0,2.0306387368305296,3.4665350665254526,2.259177229857139,1.5282064061336444,3.2446317613677684,1.649301636240207,1.954986813199385,2.3876198475533705,2.9554331411908334,2.6784678364166483,2.252531395879466,1.6624143325302556,2.0999811237442927,1.6730257776104982,1.0845854632322294,1.9579602387989627,1.7273156296902163,1.749378702570524,2.5521421631226735,3.3065599506306134,1.545678532249613
1.1667614408779132,1.0703808273180124,3.494507198893852,2.9802705962856146,5.0,2.7271503617070243,4.906497069716699,3.8975661108576336,3.3012581207784377,3.794959212055178,1.4724038272665902,1.847126739463301,1.500626422051156,1.0,3.75052652027224,2.6282499181017913,3.9472769032707657,2.38166679895502,2.9483684864792385,1.0,5.0,2.016820216836948,4.13881457910241,3.0486626943734856,2.4377060266217585,1.9634180721126684,2.5165436484733616,3.558577957462469,4.905986347136881,3.716630722627258,5.0,1.5256234290660766,5.0,2.3517291185811056,4.739957341011925,1.1136152924722293,3.9388424566725,2.5950510938692553,1.6732454988144236,3.4035732156805425,3.003919692817953,3.8405825323012306,4.954212673381956,2.856704866239865,2.76476727786514
2.8360388714578377,4.1514592611700545,2.7925645456379775,2.523035350328256,1.0220355722199286,3.6953955359717567,3.9332733807103857,3.1700196530088456,3.025221781538022,3.239656404101916,3.818562344306077,4.8613035181630595,2.968250460631485,3.0738602972941074,3.3839613877947903,4.2417439750439385,4.083478304004405,3.0507478223331974,2.4724677324325337,3.1282315029756393,3.531341098099848,4.9498789277915005,2.773588508902856,4.3432637581084235,3.049744120355684,3.5430786254476883,3.7851042316045893,3.159283112880378,3.679486756317735,3.0746668143518248,1.0,3.8288314580614102,3.0357940594052764,3.7503691415909004,2.831468948050313,4.964752884874111,2.7208857997336016,1.4768557651976661,4.9164615255587645,3.201018488976328,2.303471689293991,2.389412115984642,4.521491217745221,3.6970624677139536,3.869756820135583
1.9273187030700103,1.9195322147914158,2.84599967938213,2.0583459095426333,5.0,2.456301542983585,4.907405894160431,2.7777407007507775,5.0,3.6604833599715647,2.3605499674202637,3.0140263515139525,2.633662418239913,2.631481773360668,3.935933866661265,4.5866589459611316,5.0,1.060832113947611,1.4116487024692919,1.0,5.0,3.9983949121385063,4.423045109764771,5.0,2.71113758979674,1.5533748404177001,3.241332591826097,4.248469739018102,4.582032786888256,4.225019132841084,4.300115317854671,2.2565054611248208,5.0,2.723351532454366,4.48242864589027,3.440467741762389,3.7640153025767495,1.7750864301788345,4.379496911896306,3.797739593633481,2.830243661107359,3.664408746909757,5.0,2.644609949027756,4.115041311794295
1.3084733228165377,2.07698248936798,3.447813050598873,3.3731713340554714,3.9235651062272927,3.4299271751317177,4.025071262317255,4.306378711361103,1.0064364995609785,3.331677578740968,1.943401697388794,2.48978202470654,1.1324553286118912,1.0,3.0938577654176664,1.5306483638182395,1.3783122964105776,3.9356348925864717,3.945392779599784,1.2730266914990107,3.239082409809934,1.787431531631513,2.7083508063748956,1.0365742286508686,2.3538455422646747,3.2188788987913726,2.423426374744129,2.3737232708317566,4.179342784318275,2.549912917159198,4.17724592623799,2.1253653601753757,4.5712609402366615,2.700768881397241,3.4859518002953673,1.158082192662984,3.0683736539191,2.4391489315086763,1.0,2.648286963769175,2.481906822556113,2.8139135752272684,3.4782816088904758,3.414146193076994,1.933690137144909
2.6048997777317386,3.6693057038714088,2.4120495203262333,1.9681810960081032,1.8469398443274505,3.1415424035903334,3.9029271145422424,2.581250664809067,3.7021508276753736,3.0617861408789464,3.505636625908915,4.536905213852002,2.947452259832155,3.2039015849583983,3.3120936897469315,4.564804886237537,4.924981702982214,2.082886534668065,1.642925197524054,2.6086839426459805,3.8557735474200054,5.0,2.9524451274157597,5.0,2.815941211241052,2.80007150796599,3.620399008077241,3.322725731586736,3.5541916473255575,3.2059230638405554,1.0,3.4535136183244246,3.112576046841255,3.3988331108752714,2.8769132296143476,4.993275455349605,2.6613917604093653,1.1045036689819339,5.0,3.1899071531146386,2.137774468603126,2.3774031513828255,4.81308854848507,3.196202221962705,4.022165315489463
